# Column descriptions:
# id	Object ID, according to EcoCyc
# protein-count-avg	A floating point number
# protein-count-std	A floating point number
# protein-concentration-avg	A floating point number in mM units
# protein-concentration-std	A floating point number in mM units
# relative-protein-count-to-protein-rna-counts	A floating point number
# relative-protein-mass-to-total-protein-mass	A floating point number
# relative-protein-mass-to-total-cell-dry-mass	A floating point number
# validation-count	A floating point number
id	protein-count-avg	protein-count-std	protein-concentration-avg	protein-concentration-std	relative-protein-count-to-protein-rna-counts	relative-protein-mass-to-total-protein-mass	relative-protein-mass-to-total-cell-dry-mass	validation-count
ATPB-MONOMER	2375.1821063109533	541.4307300106368	0.002732761037585908	0.0002809195099898197	282.2938270708889	0.000571412112608448	0.0002503829714551069	NaN
ATPC-MONOMER	1610.7016958536979	385.0526354769949	0.0018525634540873428	0.00023176206099042375	191.43422509961604	0.00019261775311632542	0.00008440179043477752	NaN
ATPD-MONOMER	4368.158344817479	1033.0550994763125	0.005024719344255973	0.000609013200024866	519.1619342086482	0.0017446328155101428	0.0007644681287056436	3367.0
ATPE-MONOMER	10681.091670958378	2421.4347900728476	0.012292137932734608	0.0012627402976531862	1269.463186455604	0.0006999665712492389	0.00030671332679417914	50.0
ATPF-MONOMER	2160.57187174941	495.3964738156653	0.0024867093909160414	0.00027145461109915573	256.7870904371009	0.00029612565355949624	0.00012975717424652998	NaN
ATPG-MONOMER	1634.883600640805	381.9900410188278	0.001880588017260119	0.00021684051531003443	194.30827944268236	0.0004099315057932719	0.00017962494362438948	1295.0
ATPH-MONOMER	1153.088741738031	264.2042354613121	0.0013272270607098322	0.00014494878053874965	137.04626394443272	0.0001769205258754168	0.00007752353512051199	NaN
EG10106-MONOMER	31.348231170242865	10.134494492626704	0.00003603066157430229	9.065206813877754e-6	11.512325633550121	3.3947900691939307e-6	1.4875386892148588e-6	941.0
VALINE-PYRUVATE-AMINOTRANSFER-MONOMER	451.78845492277975	209.9019200389537	0.0005230374695582393	0.00022607647624667705	485.5049995515607	0.00016751911728237693	0.00007340399938186042	2883.0
EG10108-MONOMER	11738.559823066134	2926.1233266031563	0.013477337612565903	0.0016546223656792656	1676.278558493089	0.0016426044891052602	0.0007197610688198634	8325.0
CHD-MONOMER	103.62096825083408	78.36865894368	0.00011979614636931682	0.00008701681919289906	346.24689493803476	0.000050891605709751423	0.000022299827355008808	NaN
BADH-MONOMER	165.46235473489438	119.8878631055632	0.00019160555150843952	0.00013415619116527227	552.8883538070169	0.00006949271929429645	0.00003045051577918605	6161.0
PD00251	17.535768447065387	13.086346106237167	0.000020227537084015362	0.000014464373447595517	58.595335265069586	3.038036165400418e-6	1.3312152572486245e-6	2056.0
BETT-MONOMER	18.463512988110093	13.39189000582988	0.000021156337564471085	0.000014426481893261784	150.90807753098744	0.00001111731894361973	4.871418176648052e-6	305.0
EG10113-MONOMER	744.6787832030892	319.8054422955591	0.0008539208189770487	0.00030776792064517167	382.91470191410946	0.000109265924906745	0.000047878451214575995	798.0
EG10114-MONOMER	5.260849209273354	18.619289987429248	6.082187548916215e-6	0.000021229398736489318	717.100166481687	2.2197900001816374e-6	9.72673844302392e-7	881.0
BGLF-MONOMER	5.563283576620791	21.32997408595213	6.403915869657393e-6	0.000024159268641593932	758.3246392896782	2.9361701122774223e-6	1.2865793027272741e-6	121.0
EG10116-MONOMER	6.752317015330061	25.283174644113696	7.860287589814108e-6	0.000029191516955345368	920.4003884572697	1.7206164405912758e-6	7.539445657935526e-7	2076.0
DAPASYN-MONOMER	432.15840792090495	218.62305175232038	0.0004934574367599282	0.00021333549208873905	823.9477262936472	0.00016236892897121392	0.00007114727533900491	6678.0
BIOTIN-SYN-MONOMER	620.6126141714011	346.91766196189025	0.0007131023862077051	0.0003632733159493606	1136.76893277007	0.00019039277155746625	0.00008342684173864844	300.0
EG10119-MONOMER	97.97992903917908	54.16839999369344	0.00011266982534462437	0.00005688515988130209	179.46870047986758	0.000021997137952097153	9.638767961728645e-6	2112.0
DETHIOBIOTIN-SYN-MONOMER	480.1729563141085	256.6383034774197	0.0005519500399960315	0.00026724770678920645	879.5272391023084	0.0000920126310888632	0.0000403183542579519	680.0
7KAPSYN-MONOMER	126.40749953690228	65.56719813161361	0.00014523093836169948	0.00006781286469154788	231.53915189840382	0.00004174242390951976	0.000018290813063961172	200.0
EG10122-MONOMER	126.23633861705787	85.36017343348526	0.00014498787852937738	0.0000916317723021514	834.36912209889	0.000028567172241723708	0.000012517644120809765	NaN
BIOTINLIG-MONOMER	90.93831945397216	36.16985421774071	0.00010454695015931989	0.00003487136572530667	275.0562499230381	0.00002549611023606963	0.00001117195750771297	1927.0
EG10124-MONOMER	84.80416360479342	53.797482812341926	0.00009752186429310767	0.000056878345011594116	365.2519638786604	0.00005778777476099133	0.000025321610163959126	9359.0
