p_expressed	max_monomer_counts	max_mRNA_counts	cistron_idx	gene_name	cistron_name	protein_name
0.75	181	2	229	EG10236	EG10236_RNA	EG10236-MONOMER
0.25	17	1	231	EG10238	EG10238_RNA	EG10238-MONOMER
0.75	257	2	236	EG10243	EG10243_RNA	EG10243-MONOMER
0.5	1180	1	241	EG10248	EG10248_RNA	DPPA-MONOMER
0.5	535	1	242	EG10249	EG10249_RNA	DSERDEAM-MONOMER
0.75	443	1	247	EG10254	EG10254_RNA	PD03254
0.75	59	2	249	EG10256	EG10256_RNA	KDPGALDOL-4OH2OXOGLUTARALDOL-MONOMER
0.25	855	1	260	EG10267	EG10267_RNA	ACRF-MONOMER
0.5	14951	1	270	EG10277	EG10277_RNA	FABH-MONOMER
0.5	88	1	271	EG10278	EG10278_RNA	FADA-MONOMER
0.25	142	1	277	EG10284	EG10284_RNA	EG10284-MONOMER
0.25	2595	1	293	EG10300	EG10300_RNA	EG10300-MONOMER
0.75	264	1	299	EG10306	EG10306_RNA	EG10306-MONOMER
0.25	316	1	301	EG10308	EG10308_RNA	EG10308-MONOMER
0.75	502	3	302	EG10309	EG10309_RNA	EG10309-MONOMER
0.25	43	1	303	EG10310	EG10310_RNA	EG10310-MONOMER
0.75	138	1	305	EG10312	EG10312_RNA	EG10312-MONOMER
0.75	226	1	306	EG10313	EG10313_RNA	EG10313-MONOMER
0.5	226	1	307	EG10314	EG10314_RNA	EG10314-MONOMER
0.75	3	1	321	EG10328	EG10328_RNA	FOLD-MONOMER
0.75	7129	1	322	EG10329	EG10329_RNA	EG10329-MONOMER
0.75	220	1	323	EG10330	EG10330_RNA	FUM-FLAVO
0.75	334	1	324	EG10331	EG10331_RNA	FUM-FE-S
0.75	268	1	325	EG10332	EG10332_RNA	FUM-MEMB1
0.25	131	1	341	EG10348	EG10348_RNA	FUCPALDOL-MONOMER
0.25	132	1	342	EG10349	EG10349_RNA	FUCISOM-MONOMER
0.25	5	1	344	EG10351	EG10351_RNA	LACTALDREDUCT-MONOMER
0.75	6	2	346	EG10353	EG10353_RNA	PD00444
0.5	23558	2	347	EG10355	EG10355_RNA	EG10355-MONOMER
0.25	210	1	349	EG10357	EG10357_RNA	FUMB-MONOMER
0.5	1091	1	352	EG10360	EG10360_RNA	EG10360-MONOMER
0.25	302	1	356	EG10364	EG10364_RNA	PD03028
0.5	284	1	364	EG10372	EG10372_RNA	GDHA-MONOMER
0.25	183	1	365	EG10373	EG10373_RNA	EG10373-MONOMER
0.75	5568	2	382	EG10390	EG10390_RNA	GLNS-MONOMER
0.75	739	2	383	EG10391	EG10391_RNA	ANGLYC3PDEHYDROGSUBUNITA-MONOMER
0.75	678	2	384	EG10392	EG10392_RNA	ANGLYC3PDEHYDROGSUBUNITB-MONOMER
0.5	1864	2	407	EG10416	EG10416_RNA	EG10416-MONOMER
0.75	416	2	416	EG10425	EG10425_RNA	7-ALPHA-HYDROXYSTEROID-DEH-MONOMER
0.75	125	1	421	EG10430	EG10430_RNA	UROGENIIISYN-MONOMER
0.5	2640	2	432	EG10441	EG10441_RNA	PD00348
0.5	305	2	433	EG10442	EG10442_RNA	EG10442-MONOMER
0.25	94	1	464	EG10473	EG10473_RNA	EG10473-MONOMER
0.25	76	1	465	EG10474	EG10474_RNA	EG10474-MONOMER
0.25	79	1	466	EG10475	EG10475_RNA	HYCBSMALL-MONOMER
0.25	88	1	467	EG10476	EG10476_RNA	HYCC-MONOMER
0.25	80	1	468	EG10477	EG10477_RNA	HYCD-MONOMER
0.25	84	1	469	EG10478	EG10478_RNA	HYCELARGE-MONOMER
0.25	62	1	470	EG10479	EG10479_RNA	HYCF-MONOMER
0.25	43	1	471	EG10480	EG10480_RNA	HYCG-MONOMER
0.25	23	1	472	EG10481	EG10481_RNA	EG10481-MONOMER
0.25	53	1	474	EG10483	EG10483_RNA	EG10483-MONOMER
0.25	47	1	475	EG10484	EG10484_RNA	EG10484-MONOMER
0.25	32	1	476	EG10485	EG10485_RNA	EG10485-MONOMER
0.25	27	1	477	EG10486	EG10486_RNA	EG10486-MONOMER
0.5	266	3	478	EG10487	EG10487_RNA	EG10487-MONOMER
0.25	290	1	490	EG10500	EG10500_RNA	ACETOLACTSYNIII-ICHAIN-MONOMER
0.75	154	1	492	EG10502	EG10502_RNA	SMALLILVN-MONOMER
0.5	171	1	498	EG10508	EG10508_RNA	FPPSYN-MONOMER
0.25	175	1	501	EG10511	EG10511_RNA	HYDROPEROXIDI-MONOMER
0.25	146	1	502	EG10512	EG10512_RNA	AKBLIG-MONOMER
0.25	97	1	503	EG10513	EG10513_RNA	EG10513-MONOMER
0.25	97	1	504	EG10514	EG10514_RNA	KDPB-MONOMER
0.5	1314	2	505	EG10515	EG10515_RNA	EG10515-MONOMER
0.5	159	2	506	EG10516	EG10516_RNA	KDPD-MONOMER
0.75	107	1	510	EG10520	EG10520_RNA	KDOTRANS-MONOMER
0.75	48	1	512	EG10522	EG10522_RNA	KGTP-MONOMER
0.75	40	2	517	EG10527	EG10527_RNA	BETAGALACTOSID-MONOMER
0.5	236	1	524	EG10534	EG10534_RNA	EG10534-MONOMER
0.75	2234	1	540	EG10550	EG10550_RNA	ASPKINIII-MONOMER
0.75	114	1	544	EG10554	EG10554_RNA	MALE-MONOMER
0.25	264	2	545	EG10555	EG10555_RNA	MALF-MONOMER
0.75	61	2	547	EG10557	EG10557_RNA	PD00361
0.75	3486	2	548	EG10558	EG10558_RNA	MALK-MONOMER
0.5	135	2	549	EG10559	EG10559_RNA	EG10559-MONOMER
0.5	1830	2	550	EG10560	EG10560_RNA	MALDEXPHOSPHORYL-MONOMER
0.75	755	4	551	EG10561	EG10561_RNA	AMYLOMALT-MONOMER
0.25	253	1	552	EG10562	EG10562_RNA	PD00237
0.25	420	1	553	EG10563	EG10563_RNA	MALX-MONOMER
0.75	4320	1	554	EG10564	EG10564_RNA	EG10564-MONOMER
0.75	98	1	562	EG10572	EG10572_RNA	EG10572-MONOMER
0.5	2309	1	566	EG10576	EG10576_RNA	MALATE-DEHASE-MONOMER
0.5	286	1	567	EG10577	EG10577_RNA	ALPHAGALACTOSID-MONOMER
0.75	2342	1	580	EG10590	EG10590_RNA	ASPKINIIHOMOSERDEHYDROGII-MONOMER
0.75	65	2	581	EG10591	EG10591_RNA	PD03938
0.75	379	2	582	EG10592	EG10592_RNA	MGLA-MONOMER
0.75	413	2	583	EG10593	EG10593_RNA	MGLB-MONOMER
0.5	109	1	601	EG10611	EG10611_RNA	EG10611-MONOMER
0.75	328	1	604	EG10614	EG10614_RNA	MYRISTOYLACYLTRAN-MONOMER
0.75	164	1	605	EG10615	EG10615_RNA	MTLA-MONOMER
0.5	6	2	606	EG10616	EG10616_RNA	MANNPDEHYDROG-MONOMER
0.25	7	1	609	EG10619	EG10619_RNA	UDP-NACMUR-ALA-LIG-MONOMER
0.75	346	1	612	EG10622	EG10622_RNA	UDP-NACMURALGLDAPAALIG-MONOMER
0.25	23	1	613	EG10623	EG10623_RNA	NACGLCTRANS-MONOMER
0.75	307	2	614	EG10624	EG10624_RNA	EG10624-MONOMER
0.75	100	1	616	EG10626	EG10626_RNA	EG10626-MONOMER
0.5	5153	1	618	EG10628	EG10628_RNA	FLAVONADPREDUCT-MONOMER
0.75	1504	1	624	EG10634	EG10634_RNA	EG10634-MONOMER
0.5	175	1	626	EG10636	EG10636_RNA	PD00266
0.75	2046	1	645	EG10655	EG10655_RNA	NIRD-MONOMER
0.75	955	2	650	EG10661	EG10661_RNA	NRDB-MONOMER
0.75	1224	1	667	EG10678	EG10678_RNA	OPPF-MONOMER
0.75	1931	1	670	EG10681	EG10681_RNA	PD00214
0.25	333	1	687	EG10699	EG10699_RNA	6PFK-1-MONOMER
0.5	180	1	699	EG10711	EG10711_RNA	EG10711-MONOMER
0.75	868	2	714	EG10727	EG10727_RNA	ALKAPHOSPHA-MONOMER
0.75	2146	1	715	EG10728	EG10728_RNA	PHOB-MONOMER
